"code","91810"
"taluk","Naragund"
"village","Shirola"
"lat","15.825"
"long","75.53444"
"2007-04-01","0"
"2007-05-01","0"
"2007-06-01","0"
"2007-07-01","0"
"2007-08-01","0"
"2007-09-01","0"
"2007-10-01","0"
"2007-11-01","0"
"2007-12-01","0"
"2008-04-01",0
"2008-05-01",0
"2008-06-01",0
"2008-07-01",0
"2008-08-01",0
"2008-09-01",0
"2008-10-01",0
"2008-11-01",0
"2008-12-01",0
"2009-04-01","0"
"2009-05-01","0"
"2009-06-01","0"
"2009-07-01","0"
"2009-08-01","0"
"2009-09-01","0"
"2009-10-01","0"
"2009-11-01","0"
"2009-12-01","0"
"2010-01-01","Not drilled"
"2010-02-01","Not drilled"
"2010-03-01","Not drilled"
"2010-04-01","Not drilled"
"2010-05-01","Not drilled"
"2010-06-01","Not drilled"
"2010-07-01","Not drilled"
"2010-08-01","Not drilled"
"2010-09-01","Not drilled"
"2010-10-01","Not drilled"
"2010-11-01","Not drilled"
"2010-12-01","Not drilled"
"2011-01-01","Not drilled"
"2011-02-01","Not drilled"
"2011-03-01","Not drilled"
"2011-04-01","Not drilled"
"2011-05-01","Not drilled"
"2011-06-01","Not drilled"
"2011-07-01","Not drilled"
"2011-08-01","Not drilled"
"2011-09-01","Not drilled"
"2011-10-01","Not drilled"
"2011-11-01","Not drilled"
"2011-12-01","Not drilled"
"2012-01-01","Not drilled"
"2012-02-01","Not drilled"
"2012-03-01","Not drilled"
"2012-04-01","Not drilled"
"2012-05-01","Not drilled"
"2012-06-01","Not drilled"
"2012-07-01","Not drilled"
"2012-08-01","Not drilled"
"2012-09-01","3.70000004768372"
"2012-10-01","3.5"
"2012-11-01","4.19999980926514"
"2012-12-01","5.19999980926514"
"2013-01-01","6.30000019073486"
"2013-02-01","7.55000019073486"
"2013-03-01","8.94999980926514"
"2013-04-01","10.5"
"2013-05-01","10.8999996185303"
"2013-06-01","10.9499998092651"
"2013-07-01","9.99499988555908"
"2013-08-01","9.25"
"2013-09-01","9.05000019073486"
"2013-10-01","8.69999980926514"
"2013-11-01","8.5"
"2013-12-01","8.60000038146973"
"2014-01-01","8.75"
"2014-02-01","8.94999980926514"
"2014-03-01","9.19999980926514"
"2014-04-01","9.5"
"2014-05-01","9.75"
"2014-06-01","10"
"2014-07-01","9.89999961853027"
"2014-08-01","9"
"2014-09-01","8.30000019073486"
"2014-10-01","7.80000019073486"
"2014-11-01","7.5"
"2014-12-01","7.59999990463257"
"2015-01-01","7.75"
"2015-02-01","7.94999980926514"
"2015-03-01","8.14999961853027"
"2015-04-01","8.39999961853027"
"2015-05-01","8.55000019073486"
"2015-06-01","7.5"
"2015-07-01","7.55000019073486"
"2015-08-01","6.09999990463257"
"2015-09-01","4.90000009536743"
"2015-10-01","4.69999980926514"
"2015-11-01","4.84999990463257"
"2015-12-01","6.80000019073486"
"2016-01-01","7.75"
"2016-02-01","7.94999980926514"
"2016-03-01","8.14999961853027"
"2016-04-01","7.1"
"2016-05-01","7.15"
"2016-06-01","7.1"
"2016-07-01","6.7"
"2016-08-01","6.8"
"2016-09-01","6.7"
"2016-10-01","7.4"
"2016-11-01","7.4"
"2017-01-01","7.58"
"2017-02-01","7.8"
"2017-03-01","9.28"
"2017-04-01","9.12"
"2017-05-01","10.5"
"2017-06-01","11.3"
"2017-07-01","11.85"
"2017-08-01","10.5"
"2017-09-01","9.4"
"2017-10-01","8.5"
"2017-11-01","10.8"
"2017-12-01","10.8"
"2018-01-01","10.9"
"2018-02-01","11.1"
"2018-03-01","11"
"2018-04-01","11"
"2018-05-01","10.95"
"2018-06-01","10.85"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
