"code","091714HP"
"taluk","Shirahatti"
"village","ITAGI"
"lat","14.95278"
"long","75.71944"
"2007-04-01","24.7"
"2007-05-01","24.7"
"2007-06-01","25"
"2007-07-01","0"
"2007-08-01","0"
"2007-09-01","14.1"
"2007-10-01","10.1"
"2007-11-01","0"
"2007-12-01","12.3"
"2008-04-01",15.12
"2008-05-01",15.12
"2008-06-01",16.1
"2008-07-01",17.5
"2008-08-01",17
"2008-09-01",16.5
"2008-10-01",16
"2008-11-01",15.6
"2008-12-01",15.7
"2009-04-01","0"
"2009-05-01","0"
"2009-06-01","0"
"2009-07-01","17"
"2009-08-01","17.03"
"2009-09-01","17.45"
"2009-10-01","16.45"
"2009-11-01","10.25"
"2009-12-01","8.29"
"2010-01-01","2.78999996185303"
"2010-02-01","3"
"2010-03-01","3.5"
"2010-04-01","Collapsed"
"2010-05-01","Collapsed"
"2010-06-01","Collapsed"
"2010-07-01","Collapsed"
"2010-08-01","Collapsed"
"2010-09-01","Collapsed"
"2010-10-01","Collapsed"
"2010-11-01","Collapsed"
"2010-12-01","Collapsed"
"2011-01-01","Collapsed"
"2011-02-01","Collapsed"
"2011-03-01","Collapsed"
"2011-04-01","Collapsed"
"2011-05-01","Collapsed"
"2011-06-01","Collapsed"
"2011-07-01","Collapsed"
"2011-08-01","Collapsed"
"2011-09-01","Collapsed"
"2011-10-01","Collapsed"
"2011-11-01","Collapsed"
"2011-12-01","Collapsed"
"2012-01-01","Collapsed"
"2012-02-01","Collapsed"
"2012-03-01","Collapsed"
"2012-04-01","Collapsed"
"2012-05-01","Collapsed"
"2012-06-01","Collapsed"
"2012-07-01","Collapsed"
"2012-08-01","Collapsed"
"2012-09-01","Collapsed"
"2012-10-01","Collapsed"
"2012-11-01","Collapsed"
"2012-12-01","Collapsed"
"2013-01-01","Collapsed"
"2013-02-01","4"
"2013-03-01","4.59999990463257"
"2013-04-01","5.30000019073486"
"2013-05-01","4.5"
"2013-06-01","4.09999990463257"
"2013-07-01","3.84999990463257"
"2013-08-01","3.54999995231628"
"2013-09-01","3.5"
"2013-10-01","3.09999990463257"
"2013-11-01","3.29999995231628"
"2013-12-01","3.45000004768372"
"2014-01-01","3.65000009536743"
"2014-02-01","3.90000009536743"
"2014-03-01","Collapsed"
"2014-04-01","Collapsed"
"2014-05-01","Collapsed"
"2014-06-01","Collapsed"
"2014-07-01","Collapsed"
"2014-08-01","Collapsed"
"2014-09-01","Collapsed"
"2014-10-01","Collapsed"
"2014-11-01","Collapsed"
"2014-12-01","Collapsed"
"2015-01-01","Collapsed"
"2015-02-01","Collapsed"
"2015-03-01","Collapsed"
"2015-04-01","Collapsed"
"2015-05-01","Collapsed"
"2015-06-01","Collapsed"
"2015-07-01","Collapsed"
"2015-08-01","Collapsed"
"2015-09-01","Collapsed"
"2015-10-01","Collapsed"
"2015-11-01","Collapsed"
"2015-12-01","Collapsed"
"2016-01-01","Collapsed"
"2016-02-01","Collapsed"
"2016-03-01","Collapsed"
"2016-04-01","Collapsed"
"2016-05-01","Collapsed"
"2016-06-01","Collapsed"
"2016-07-01","Collapsed"
"2016-08-01","Collapsed"
"2016-09-01","Collapsed"
"2016-10-01","Collapsed"
"2016-11-01","Collapsed"
"2017-01-01","-"
"2017-02-01","-"
"2017-03-01","-"
"2017-04-01","-"
"2017-05-01","-"
"2017-06-01","-"
"2017-07-01","Pump Installed"
"2017-08-01","Dry"
"2017-09-01","Dry"
"2017-10-01","Pump Installed"
"2017-11-01","Pump Installed"
"2017-12-01","Pump Installed"
"2018-01-01","Pump Installed"
"2018-02-01","Pump Installed"
"2018-03-01","Pump Installed"
"2018-04-01","Pump Installed"
"2018-05-01","Pump Installed"
"2018-06-01","Pump Installed"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
